Year,State Coverage,Region,Quantity,Total Value
1999,Connecticut,Northeast,13680000.0,89800000.0
1999,Delaware,South,2100000.0,10800000.0
1999,Florida,South,118900000.0,580000000.0
1999,Georgia,South,81400000.0,478100000.0
1999,Hawaii,West,6378000.0,61340000.0
1999,Idaho,West,19590000.0,66700000.0
1999,Illinois,Midwest,111000000.0,535000000.0
1999,Indiana,Midwest,88300000.0,396000000.0
1999,Iowa,Midwest,53700000.0,263600000.0
1999,Kansas,Midwest,34500000.0,147300000.0
1999,Kentucky,South,69420000.0,340400000.0
1999,Louisiana,South,16500000.0,81700000.0
1999,Maine,Northeast,12120000.0,61500000.0
1999,Maryland,South,31570000.0,177500000.0
1999,Massachusetts,Northeast,24300000.0,165100000.0
1999,Michigan,Midwest,111400000.0,385000000.0
1999,Minnesota,Midwest,50400000.0,204700000.0
1999,Mississippi,South,13860000.0,74800000.0
1999,Missouri,Midwest,85000000.0,396300000.0
1999,Montana,West,15480000.0,64100000.0
1999,Nebraska,Midwest,19090000.0,85300000.0
1999,Nevada,West,38790000.0,179900000.0
1999,New Hampshire,Northeast,12240000.0,56400000.0
1999,New Jersey,Northeast,41000000.0,251500000.0
1999,New Mexico,West,14310000.0,75200000.0
1999,New York,Northeast,76100000.0,418000000.0
1999,North Carolina,South,78600000.0,521900000.0
1999,North Dakota,Midwest,11700000.0,33000000.0
1999,Ohio,Midwest,125200000.0,585000000.0
1999,Oklahoma,South,46400000.0,186200000.0
1999,Oregon,West,40200000.0,216000000.0
1999,Pennsylvania,Northeast,109900000.0,600000000.0
1999,Rhode Island,Northeast,3380000.0,22100000.0
1999,South Carolina,South,38260000.0,227200000.0
1999,South Dakota,Midwest,18420000.0,72100000.0
1999,Tennessee,South,72740000.0,435100000.0
1999,Texas,South,185100000.0,820000000.0
1999,Utah,West,48050000.0,169400000.0
1999,Vermont,Northeast,9830000.0,41600000.0
1999,Virginia,South,77700000.0,442800000.0
1999,Washington,West,63100000.0,373000000.0
1999,West Virginia,South,14350000.0,65530000.0
1999,Wisconsin,Midwest,69500000.0,263000000.0
1999,Wyoming,West,11380000.0,44800000.0
2000,Alabama,South,63000000.0,359700000.0
2000,Alaska,West,12000000.0,60610000.0
2000,Arizona,West,67430000.0,352200000.0
2000,Arkansas,South,38120000.0,185600000.0
2000,California,West,205900000.0,1300000000.0
2000,Colorado,West,57100000.0,299400000.0
2000,Connecticut,Northeast,15750000.0,112200000.0
2000,Delaware,South,2330000.0,12400000.0
2000,Florida,South,117500000.0,602000000.0
2000,Georgia,South,84540000.0,487700000.0
2000,Hawaii,West,6377000.0,64520000.0
2000,Idaho,West,21000000.0,70500000.0
2000,Illinois,Midwest,106300000.0,527000000.0
2000,Indiana,Midwest,83300000.0,374000000.0
2000,Iowa,Midwest,52300000.0,262100000.0
2000,Kansas,Midwest,33300000.0,141200000.0
2000,Kentucky,South,66100000.0,330000000.0
2000,Louisiana,South,14900000.0,76900000.0
2000,Maine,Northeast,9670000.0,37600000.0
2000,Maryland,South,42800000.0,243700000.0
2000,Massachusetts,Northeast,26600000.0,183100000.0
2000,Michigan,Midwest,118000000.0,418000000.0
2000,Minnesota,Midwest,51900000.0,226100000.0
2000,Mississippi,South,13990000.0,83500000.0
2000,Missouri,Midwest,86300000.0,406700000.0
2000,Montana,West,13020000.0,53200000.0
2000,Nebraska,Midwest,18290000.0,81600000.0
2000,Nevada,West,44440000.0,209300000.0
2000,New Hampshire,Northeast,12530000.0,57600000.0
2000,New Jersey,Northeast,41200000.0,255000000.0
2000,New Mexico,West,17090000.0,89200000.0
2000,New York,Northeast,78400000.0,457000000.0
2000,North Carolina,South,81500000.0,537100000.0
2000,North Dakota,Midwest,10656400.0,28014000.0
2000,Ohio,Midwest,124900000.0,584000000.0
2000,Oklahoma,South,48510000.0,203500000.0
2000,Oregon,West,37300000.0,195900000.0
2000,Pennsylvania,Northeast,115800000.0,630000000.0
2000,Rhode Island,Northeast,3090000.0,20380000.0
2000,South Carolina,South,39700000.0,229800000.0
2000,South Dakota,Midwest,18260000.0,72000000.0
2000,Tennessee,South,68860000.0,400000000.0
2000,Texas,South,200500000.0,889000000.0
2000,Utah,West,39300000.0,149700000.0
2000,Vermont,Northeast,9350000.0,40300000.0
2000,Virginia,South,81100000.0,495500000.0
2000,Washington,West,58600000.0,335000000.0
2000,West Virginia,South,16080000.0,69800000.0
2000,Wisconsin,Midwest,74700000.0,293000000.0
2000,Wyoming,West,12590000.0,49900000.0
2001,Alabama,South,63000000.0,368000000.0
2001,Alaska,West,12770000.0,73640000.0
2001,Arizona,West,61220000.0,337600000.0
2001,Arkansas,South,45300000.0,226600000.0
2001,California,West,210600000.0,1476000000.0
